time,wx (rad/s),wy (rad/s),wz (rad/s)
0.885445,0.04,-0.68,-0.58
0.887654,0.03,-0.70,-0.53
0.890130,0.01,-0.71,-0.50
0.892437,-0.01,-0.71,-0.48
0.894966,-0.04,-0.70,-0.46
0.897279,-0.06,-0.68,-0.44
0.899765,-0.09,-0.66,-0.43
0.901981,-0.13,-0.61,-0.42
0.904956,-0.16,-0.56,-0.41
0.907174,-0.21,-0.50,-0.40
0.910353,-0.25,-0.43,-0.39
0.912311,-0.29,-0.36,-0.38
0.915174,-0.33,-0.27,-0.36
0.917644,-0.36,-0.18,-0.34
0.919275,-0.39,-0.10,-0.31
0.920942,-0.42,-0.03,-0.26
0.923338,-0.45,0.03,-0.21
0.925701,-0.47,0.05,-0.15
0.929434,-0.48,0.06,-0.08
0.930579,-0.49,0.06,-0.01
0.933229,-0.50,0.04,0.07
0.935220,-0.50,0.02,0.14
0.938709,-0.50,0.01,0.21
0.939939,-0.51,0.00,0.28
0.942374,-0.51,0.01,0.34
0.944789,-0.51,0.02,0.40
0.948620,-0.52,0.03,0.46
0.949753,-0.52,0.05,0.51
0.952009,-0.52,0.08,0.58
0.954367,-0.52,0.12,0.64
0.956754,-0.53,0.16,0.70
0.958998,-0.53,0.20,0.76
0.961778,-0.54,0.22,0.81
0.963807,-0.54,0.24,0.87
0.966105,-0.55,0.26,0.92
0.969741,-0.56,0.28,0.98
0.970765,-0.56,0.30,1.04
0.973062,-0.57,0.33,1.11
0.975444,-0.58,0.34,1.17
0.977910,-0.59,0.35,1.23
0.980375,-0.59,0.36,1.30
0.982697,-0.60,0.38,1.36
0.985016,-0.63,0.40,1.42
0.987550,-0.66,0.44,1.47
0.990590,-0.68,0.47,1.50
0.992622,-0.70,0.50,1.52
0.994619,-0.71,0.51,1.54
0.997018,-0.73,0.52,1.55
0.999321,-0.75,0.51,1.55
1.001858,-0.76,0.50,1.54
1.004957,-0.77,0.48,1.53
1.007206,-0.76,0.45,1.51
1.010029,-0.76,0.42,1.48
1.010971,-0.77,0.37,1.46
1.013785,-0.77,0.32,1.42
1.018260,-0.76,0.25,1.38
1.018700,-0.75,0.18,1.34
1.020945,-0.73,0.10,1.30
1.023354,-0.70,0.01,1.25
1.025319,-0.67,-0.08,1.19
1.028360,-0.64,-0.18,1.14
1.030271,-0.62,-0.30,1.09
1.032768,-0.59,-0.41,1.04
1.035269,-0.57,-0.51,0.99
1.037167,-0.54,-0.61,0.95
1.039972,-0.52,-0.69,0.90
1.042279,-0.50,-0.77,0.85
1.044457,-0.50,-0.85,0.77
1.048666,-0.50,-0.92,0.67
1.049958,-0.50,-0.98,0.55
1.052486,-0.51,-1.01,0.43
1.054354,-0.52,-1.01,0.32
1.056693,-0.54,-0.98,0.21
1.059418,-0.54,-0.95,0.11
1.060974,-0.55,-0.91,0.01
1.063787,-0.54,-0.88,-0.09
1.065904,-0.54,-0.84,-0.20
1.069351,-0.55,-0.79,-0.30
1.070487,-0.55,-0.75,-0.42
1.072776,-0.55,-0.69,-0.53
1.075345,-0.54,-0.64,-0.65
1.077866,-0.53,-0.59,-0.76
1.080430,-0.53,-0.55,-0.87
1.082399,-0.53,-0.51,-0.99
1.084772,-0.53,-0.48,-1.09
1.087101,-0.53,-0.45,-1.20
1.090031,-0.55,-0.41,-1.31
1.091890,-0.56,-0.38,-1.41
1.094277,-0.57,-0.35,-1.51
1.096717,-0.58,-0.31,-1.60
1.099055,-0.59,-0.27,-1.68
1.101411,-0.60,-0.24,-1.76
1.103805,-0.61,-0.19,-1.84
1.106099,-0.60,-0.14,-1.92
1.109721,-0.61,-0.08,-1.99
1.110786,-0.62,-0.01,-2.06
1.115897,-0.62,0.06,-2.14
1.116751,-0.63,0.15,-2.21
1.117963,-0.63,0.23,-2.29
1.120101,-0.64,0.31,-2.38
1.123687,-0.66,0.39,-2.46
1.126320,-0.67,0.49,-2.55
1.128100,-0.70,0.61,-2.63
1.129952,-0.73,0.73,-2.72
1.132156,-0.75,0.86,-2.80
1.134511,-0.77,0.99,-2.90
1.136780,-0.79,1.11,-3.00
1.139267,-0.82,1.24,-3.11
1.141703,-0.85,1.38,-3.22
1.143927,-0.88,1.54,-3.33
1.146552,-0.91,1.72,-3.44
1.152523,-0.94,1.91,-3.54
1.152828,-0.96,2.11,-3.64
1.154895,-0.99,2.32,-3.72
1.156032,-1.01,2.54,-3.81
1.159309,-1.03,2.76,-3.88
1.160933,-1.04,3.00,-3.95
1.162949,-1.04,3.25,-4.03
1.165315,-1.04,3.51,-4.10
1.167624,-1.04,3.77,-4.17
1.170293,-1.02,4.02,-4.25
1.172282,-1.00,4.26,-4.33
1.174746,-0.98,4.47,-4.42
1.176993,-0.94,4.63,-4.53
1.179446,-0.88,4.76,-4.64
1.181790,-0.82,4.83,-4.76
1.184175,-0.82,4.85,-4.88
1.186557,-0.87,4.82,-4.99
1.189883,-0.91,4.75,-5.07
1.191288,-0.91,4.66,-5.13
1.193726,-0.89,4.56,-5.17
1.196059,-0.83,4.43,-5.21
1.198494,-0.73,4.31,-5.24
1.200742,-0.61,4.20,-5.27
1.203225,-0.50,4.11,-5.29
1.205653,-0.43,4.04,-5.29
1.209127,-0.39,3.97,-5.27
1.210142,-0.37,3.88,-5.23
1.212656,-0.37,3.78,-5.16
1.214994,-0.36,3.66,-5.06
1.217451,-0.36,3.50,-4.93
1.219656,-0.36,3.29,-4.80
1.222258,-0.36,3.03,-4.65
1.224422,-0.36,2.72,-4.48
1.226798,-0.36,2.37,-4.31
1.229895,-0.37,1.97,-4.14
1.232322,-0.39,1.54,-3.96
1.234828,-0.43,1.11,-3.79
1.236540,-0.47,0.69,-3.62
1.238876,-0.51,0.31,-3.45
1.241123,-0.54,-0.01,-3.28
1.243404,-0.59,-0.26,-3.12
1.245878,-0.64,-0.45,-2.97
1.249411,-0.68,-0.58,-2.83
1.250578,-0.72,-0.67,-2.68
1.252974,-0.76,-0.72,-2.53
1.255451,-0.80,-0.76,-2.36
1.257637,-0.83,-0.80,-2.18
1.260000,-0.87,-0.84,-2.00
1.262406,-0.91,-0.89,-1.81
1.264895,-0.94,-0.95,-1.62
1.267151,-0.95,-1.02,-1.43
1.269898,-0.97,-1.08,-1.23
1.271937,-0.99,-1.15,-1.03
1.274371,-1.02,-1.22,-0.83
1.276635,-1.05,-1.28,-0.63
1.279017,-1.08,-1.33,-0.44
1.281348,-1.11,-1.38,-0.26
1.283768,-1.14,-1.42,-0.08
1.286139,-1.17,-1.45,0.10
1.289821,-1.19,-1.47,0.28
1.290808,-1.21,-1.47,0.47
1.293217,-1.22,-1.46,0.67
1.295589,-1.22,-1.44,0.88
1.298031,-1.21,-1.40,1.10
1.301139,-1.20,-1.34,1.34
1.302954,-1.17,-1.27,1.58
1.305101,-1.14,-1.18,1.83
1.307598,-1.11,-1.08,2.08
1.310029,-1.08,-0.97,2.32
1.312353,-1.04,-0.86,2.56
1.314830,-1.00,-0.75,2.78
1.317256,-0.95,-0.62,3.00
1.319742,-0.90,-0.51,3.21
1.322050,-0.85,-0.39,3.42
1.324181,-0.79,-0.26,3.62
1.326506,-0.74,-0.12,3.81
1.329946,-0.69,0.01,4.00
1.332818,-0.63,0.15,4.17
1.333759,-0.58,0.29,4.34
1.337921,-0.54,0.43,4.50
1.339089,-0.50,0.56,4.66
1.341316,-0.46,0.68,4.81
1.343782,-0.43,0.80,4.94
1.345630,-0.40,0.90,5.07
1.348107,-0.36,0.99,5.20
1.350438,-0.33,1.06,5.32
1.352557,-0.28,1.12,5.43
1.355019,-0.25,1.18,5.55
1.357486,-0.22,1.22,5.66
1.359790,-0.19,1.25,5.77
1.362421,-0.16,1.28,5.87
1.364627,-0.13,1.30,5.98
1.367173,-0.11,1.30,6.07
1.370102,-0.09,1.30,6.17
1.371597,-0.06,1.29,6.26
1.374190,-0.04,1.27,6.35
1.376434,-0.02,1.25,6.43
1.378903,-0.01,1.23,6.52
1.381179,-0.01,1.22,6.61
1.383795,0.02,1.23,6.71
1.386093,0.06,1.27,6.81
1.389358,0.10,1.32,6.89
1.390593,0.12,1.39,6.97
1.392801,0.14,1.46,7.05
1.395381,0.14,1.52,7.12
1.398157,0.14,1.55,7.17
1.400104,0.15,1.55,7.22
1.402543,0.15,1.52,7.26
1.405203,0.14,1.46,7.29
1.407204,0.13,1.37,7.32
1.411259,0.13,1.26,7.34
1.411916,0.13,1.15,7.35
1.414916,0.13,1.04,7.35
1.417302,0.13,0.93,7.34
1.419147,0.12,0.83,7.32
1.421358,0.11,0.71,7.27
1.423741,0.08,0.58,7.20
1.426212,0.06,0.45,7.12
1.429746,0.03,0.34,7.04
1.432097,0.01,0.25,6.95
1.433404,-0.00,0.18,6.84
1.435775,-0.02,0.13,6.74
1.438001,-0.03,0.08,6.62
1.440299,-0.04,0.04,6.50
1.442700,-0.04,-0.01,6.37
1.445096,-0.03,-0.05,6.23
1.449712,-0.02,-0.08,6.10
1.450043,-0.00,-0.11,5.97
1.452922,0.01,-0.14,5.83
1.454770,0.02,-0.17,5.69
1.456822,0.03,-0.22,5.54
1.459312,0.05,-0.27,5.39
1.461627,0.07,-0.34,5.23
1.464867,0.08,-0.41,5.07
1.468912,0.09,-0.49,4.90
1.470313,0.11,-0.58,4.72
1.471307,0.12,-0.67,4.53
1.473668,0.13,-0.78,4.35
1.475829,0.15,-0.91,4.15
1.478315,0.16,-1.04,3.95
1.480909,0.17,-1.18,3.73
1.483133,0.18,-1.31,3.51
1.485588,0.19,-1.45,3.28
1.487747,0.19,-1.59,3.04
1.490272,0.19,-1.73,2.79
1.492460,0.18,-1.85,2.53
1.494748,0.18,-1.96,2.27
1.497256,0.17,-2.04,2.01
1.499590,0.15,-2.12,1.75
1.502268,0.14,-2.17,1.50
1.504285,0.13,-2.21,1.24
1.506588,0.12,-2.22,0.98
1.509816,0.11,-2.21,0.71
1.511410,0.10,-2.17,0.44
1.513947,0.10,-2.09,0.18
1.517684,0.09,-1.98,-0.09
1.519840,0.09,-1.84,-0.34
1.521031,0.09,-1.68,-0.58
1.524356,0.09,-1.52,-0.80
1.525762,0.12,-1.38,-0.95
1.529244,0.16,-1.27,-1.08
1.530667,0.12,-1.13,-1.22
1.534318,0.10,-1.01,-1.36
1.536373,0.21,-0.92,-1.54
1.538350,0.34,-0.85,-1.77
1.540963,0.45,-0.89,-2.07
1.543091,0.55,-0.88,-2.38
1.544650,0.56,-0.72,-2.63
1.547325,0.48,-0.50,-2.81
1.550733,0.37,-0.41,-2.94
1.551814,0.28,-0.44,-3.04
1.554201,0.22,-0.49,-3.15
1.556614,0.16,-0.51,-3.24
1.558890,0.03,-0.49,-3.27
1.561245,-0.12,-0.48,-3.24
1.563689,-0.22,-0.50,-3.12
1.566121,-0.22,-0.53,-2.89
1.569851,-0.13,-0.53,-2.57
1.572837,0.04,-0.57,-2.17
1.573289,0.26,-0.77,-1.78
1.575445,0.42,-1.22,-1.54
1.577896,0.49,-1.76,-1.60
1.580224,0.50,-2.23,-1.92
1.582587,0.46,-2.53,-2.37
1.585101,0.40,-2.68,-2.85
1.587277,0.31,-2.60,-3.29
1.589796,0.23,-2.22,-3.68
1.592091,0.15,-1.53,-3.94
1.594404,0.09,-0.60,-4.05
1.596952,0.06,0.35,-3.98
1.599276,0.04,1.16,-3.78
1.601844,0.03,1.68,-3.50
1.603954,0.01,1.87,-3.21
1.606338,0.00,1.76,-2.97
1.610617,0.01,1.43,-2.79
1.610998,0.01,1.00,-2.68
1.613420,0.00,0.56,-2.61
1.616014,-0.00,0.19,-2.56
1.618485,0.00,-0.10,-2.51
1.622166,0.02,-0.31,-2.45
1.624267,0.04,-0.45,-2.40
1.626344,0.06,-0.53,-2.36
1.627623,0.06,-0.57,-2.34
1.630355,0.06,-0.59,-2.33
1.634020,0.08,-0.58,-2.35
1.634951,0.10,-0.55,-2.38
1.638793,0.11,-0.52,-2.41
1.639694,0.11,-0.47,-2.43
1.642036,0.08,-0.43,-2.43
1.644342,0.05,-0.39,-2.41
1.646636,0.04,-0.37,-2.38
1.651050,0.05,-0.38,-2.35
1.651521,0.09,-0.42,-2.31
1.654911,0.12,-0.49,-2.26
1.656572,0.15,-0.59,-2.22
1.658611,0.17,-0.70,-2.18
1.660792,0.20,-0.81,-2.14
1.663291,0.22,-0.91,-2.10
1.666691,0.24,-0.99,-2.07
1.669039,0.25,-1.04,-2.02
1.670604,0.25,-1.05,-1.97
1.672795,0.24,-1.04,-1.92
1.675033,0.22,-1.00,-1.86
1.678234,0.20,-0.96,-1.80
1.679962,0.17,-0.92,-1.73
1.683520,0.14,-0.91,-1.67
1.684543,0.11,-0.90,-1.61
1.687882,0.09,-0.91,-1.53
1.689995,0.06,-0.91,-1.46
1.691794,0.03,-0.92,-1.39
1.695281,-0.02,-0.92,-1.31
1.696447,-0.06,-0.92,-1.24
1.698929,-0.10,-0.91,-1.17
1.701956,-0.13,-0.91,-1.10
1.703589,-0.16,-0.91,-1.04
1.707342,-0.20,-0.91,-0.98
1.709311,-0.23,-0.94,-0.93
1.711943,-0.25,-0.96,-0.87
1.713898,-0.26,-0.98,-0.81
1.716803,-0.28,-1.01,-0.74
1.717993,-0.29,-1.03,-0.65
1.720096,-0.29,-1.04,-0.55
1.722611,-0.29,-1.04,-0.43
1.725172,-0.30,-1.03,-0.30
1.727233,-0.32,-1.00,-0.15
1.730067,-0.33,-0.96,0.01
1.733109,-0.31,-0.90,0.17
1.734392,-0.27,-0.84,0.38
1.737609,-0.25,-0.78,0.60
1.739233,-0.29,-0.69,0.81
1.741421,-0.41,-0.52,1.01
1.743876,-0.58,-0.30,1.16
1.746322,-0.73,-0.09,1.25
